Summary,Issue Type,Priority,Story Points,Epic Link,Labels,Description,Acceptance Criteria,Depends On,Blocks
"Provision Supabase projects and environment separation","Story","Highest","3","EMX-EPIC-AUTH","supabase, infra, environments","Create separate Supabase projects for **development**, **staging**, and **production**. Document project URLs, anon keys, and service role keys (stored only in Doppler — see EMX-AUTH-003). Align with EmX environment separation standards.","- [ ] Three Supabase projects exist: `emx-dev`, `emx-staging`, `emx-prod` - [ ] Each project has Auth, Postgres, and Edge Functions enabled - [ ] Connection pooling (Supavisor) enabled for server-side Node services - [ ] Project reference IDs documented in internal runbook (not committed to git) - [ ] Staging and prod have PITR/backups enabled per Supabase plan - [ ] Local dev can target dev project or Supabase CLI local stack (decision documented)","","EMX-AUTH-002, EMX-AUTH-004, EMX-AUTH-007"
"Integrate Supabase CLI and local development workflow","Story","High","5","EMX-EPIC-AUTH","supabase, dx, docker","Add `supabase/` directory to the monorepo with CLI config, link to dev project, and document local workflow (`supabase start`, `supabase db reset`, `supabase migration up`). Integrate with existing Docker Compose where appropriate.","- [ ] `supabase/config.toml` exists at repo root (or `infra/supabase/`) - [ ] `supabase/migrations/` directory initialized - [ ] `supabase link` documented for team onboarding - [ ] `pnpm` script or Makefile target: `db:reset`, `db:migrate`, `db:types` - [ ] README section: local Supabase vs remote dev project - [ ] CI can run migrations against ephemeral/staging DB (prep for EMX-AUTH-028)","EMX-AUTH-001","EMX-AUTH-004, EMX-AUTH-024"
"Configure Doppler secrets for auth and Supabase","Task","High","3","EMX-EPIC-AUTH","doppler, devops, secrets","Store all auth-related secrets in **Doppler** with configs per environment (`dev`, `stg`, `prd`). Wire GitHub Actions and Vercel (if frontend) to pull secrets at deploy time. Extend `packages/config` env schemas to validate required keys.","- [ ] Doppler project `emx-backend` (or equivalent) with configs: `dev`, `stg`, `prd` - [ ] Secrets defined per service:   - **auth-service:** `SUPABASE_URL`, `SUPABASE_SERVICE_ROLE_KEY`, `SUPABASE_JWT_SECRET`, `REDIS_URL`   - **api-gateway:** `SUPABASE_URL`, `SUPABASE_ANON_KEY`, `SUPABASE_JWT_SECRET`, `REDIS_URL` - [ ] `infra/docker/.env.example` updated with placeholder names only - [ ] GitHub Actions uses Doppler CLI or OIDC integration - [ ] Secret rotation procedure documented (service role, JWT secret)","EMX-AUTH-001","EMX-AUTH-028, EMX-AUTH-029"
"Design and migrate core auth database schema","Story","Highest","8","EMX-EPIC-AUTH","postgres, sql, migrations","Create SQL migrations for the auth domain: user profiles (shadow `auth.users`), optional multi-tenancy, and session audit tables. Follow EmX naming conventions and enforce constraints at the status level.","- [ ] Migration creates `public.profiles` linked to `auth.users(id)` ON DELETE CASCADE - [ ] Columns: `id`, `email`, `display_name`, `avatar_url`, `created_at`, `updated_at` - [ ] Optional: `tenants`, `tenant_memberships` with `role` enum if multi-tenant - [ ] `auth_audit_log` table for login/logout/failed attempts (append-only) - [ ] All tables have `created_at` / `updated_at` with triggers - [ ] Indexes on foreign keys and lookup columns (`email`, `tenant_id`) - [ ] Migration applies cleanly via Supabase CLI locally and on staging  ### SQL sketch (reference)  ```sql CREATE TABLE public.profiles (   id UUID PRIMARY KEY REFERENCES auth.users(id) ON DELETE CASCADE,   email TEXT NOT NULL,   display_name TEXT,   avatar_url TEXT,   created_at TIMESTAMPTZ NOT NULL DEFAULT now(),   updated_at TIMESTAMPTZ NOT NULL DEFAULT now() ); ```","EMX-AUTH-002","EMX-AUTH-005, EMX-AUTH-006, EMX-AUTH-010, EMX-AUTH-021"
"Implement RLS policies for auth-related tables","Story","Highest","8","EMX-EPIC-AUTH","rls, security, postgres","Enable Row Level Security on all user-facing tables. Users may only read/update their own profile; tenant members may only access rows within their tenant. Service role bypass is implicit — document and restrict server usage.","- [ ] RLS **enabled** on `profiles`, `tenant_memberships`, and any tenant-scoped tables - [ ] Policy: users SELECT/UPDATE own profile where `auth.uid() = id` - [ ] Policy: users cannot INSERT profiles directly (trigger or service only) - [ ] Tenant policies use JWT claim `tenant_id` (after EMX-AUTH-008) or membership subquery - [ ] Negative tests: user A cannot read user B's profile via PostgREST with user JWT - [ ] Migration includes `ALTER TABLE ... ENABLE ROW LEVEL SECURITY` - [ ] RLS policy documentation in epic runbook","EMX-AUTH-004","EMX-AUTH-021, EMX-AUTH-022"
"Auth triggers: auto-create profile on signup","Story","High","5","EMX-EPIC-AUTH","postgres, triggers, supabase-auth","When a user registers in Supabase Auth, automatically create a row in `public.profiles`. Handle email updates and user deletion sync.","- [ ] Trigger on `auth.users` INSERT creates matching `profiles` row - [ ] Trigger on email UPDATE syncs `profiles.email` - [ ] ON DELETE CASCADE or explicit cleanup verified - [ ] Idempotent: re-running trigger logic does not duplicate profiles - [ ] Works for email/password and OAuth signups - [ ] Logged failures surface in Supabase logs (monitoring hook for later)","EMX-AUTH-004, EMX-AUTH-005","EMX-AUTH-014, EMX-AUTH-024"
"Configure Supabase Auth providers and security settings","Story","Highest","5","EMX-EPIC-AUTH","supabase-auth, security","Configure Supabase Auth for production-grade sign-up and login: email/password, email confirmation, password policy, and optional OAuth providers (Google, GitHub). Settings must be replicated consistently across dev/staging/prod with documented differences.","- [ ] Email/password signup enabled with **email confirmation** required in staging/prod - [ ] Password minimum length and complexity configured - [ ] JWT expiry and refresh token rotation settings documented and applied - [ ] At least one OAuth provider configured in dev (Google or GitHub) - [ ] Rate limiting on auth endpoints enabled (Supabase built-in + gateway layer later) - [ ] `auth.users` leak prevention: no public SELECT on auth schema - [ ] Auth settings exported/documented per environment","EMX-AUTH-001","EMX-AUTH-008, EMX-AUTH-009, EMX-AUTH-014"
"Custom JWT claims (tenant_id, role)","Story","High","8","EMX-EPIC-AUTH","jwt, edge-functions, rls","Enrich Supabase access tokens with custom claims (`tenant_id`, `app_role`) so RLS policies and services can authorize without extra DB lookups on every request. Implement via **Custom Access Token Hook** (Edge Function) or Auth package Supabase auth hook.","- [ ] Access token JWT includes claims: `sub`, `email`, `tenant_id` (nullable), `app_role` - [ ] Claims update when user joins/leaves tenant or role changes - [ ] RLS policies reference claims where applicable - [ ] auth-service validates claims match DB on sensitive operations - [ ] Claim schema documented for frontend and backend consumers - [ ] Hook failure does not silently grant elevated access (fail closed)","EMX-AUTH-007, EMX-AUTH-004","EMX-AUTH-005, EMX-AUTH-022, EMX-AUTH-025"
"Email templates, redirect URLs, and site URL per environment","Task","Medium","3","EMX-EPIC-AUTH","supabase-auth, email, vercel","Configure Supabase Auth email templates (confirm signup, reset password, magic link) and environment-specific **Site URL** and **Redirect URLs** for Vercel deployments (preview + production).","- [ ] Branded email templates for confirm and password reset with EmX product name and support link - [ ] Site URL set per env: localhost, staging domain, production domain - [ ] Redirect allowlist includes Vercel preview URLs pattern (`*.vercel.app`) for staging - [ ] Password reset and email confirm flows tested on staging - [ ] DNS/SPF/DKIM documented if using custom SMTP (optional phase)","EMX-AUTH-007","EMX-AUTH-014"
"Create packages/database with Supabase client and generated types","Story","High","5","EMX-EPIC-AUTH","monorepo, supabase, typescript","Add `@emx/database` package: Supabase client factory, repository interfaces, and TypeScript types generated from Postgres schema. Services import this package — no duplicated DB wiring.","- [ ] `packages/database/` with build, dev, lint, typecheck scripts - [ ] `createSupabaseClient(config)` — supports anon and service role modes - [ ] `supabase gen types typescript` output committed to `src/generated/database.types.ts` - [ ] Root script: `pnpm db:types` regenerates types from linked project - [ ] Repository interfaces: `ProfileRepository`, etc. (implementations in services) - [ ] No `process.env` access — config injected from `@emx/config`","EMX-AUTH-004","EMX-AUTH-013, EMX-AUTH-028"
